title,jobrole,location,link
LinkedIn,"Software Engineer, Machine Learning","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-machine-learning-at-linkedin-4102540455?position=1&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=dG06Z58K8hlk5miwELqaig%3D%3D
Lowe's India,Software Engineer Python_ML_AI,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-python-ml-ai-at-lowe-s-india-4129262442?position=2&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=PS3yAqpGWL3T68tb2wrk%2BA%3D%3D
SAP,Machine Learning Engineer,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-sap-4118931161?position=3&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=%2F6P7Fz4srq%2B6%2BflgVfKj1A%3D%3D
Capgemini Engineering,Data scientist- Python- AI/ML GEN AI- Across india,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-scientist-python-ai-ml-gen-ai-across-india-at-capgemini-engineering-4113115672?position=4&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=ZYyPEpGZuo%2ByYAPNqbbFwg%3D%3D
ExxonMobil,Machine Learning Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-exxonmobil-4087222364?position=5&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=rlDsKljpwAGf9bTkSQG2CA%3D%3D
Onix,AI/ ML Engineer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-onix-4122611654?position=6&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=y32LruLwPi4MFriDub%2FugQ%3D%3D
Fusemachines,ML Engineer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/ml-engineer-at-fusemachines-4090790242?position=7&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=JIodXNiL%2F74wBfBZhciM5g%3D%3D
Deloitte,Machine Learning Engineer,"Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-deloitte-4132848865?position=8&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=YzimI59q9uJEj9KBo8S8lg%3D%3D
Infomize Technologies,Jr. AI/ML Developer,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/jr-ai-ml-developer-at-infomize-technologies-4118584002?position=9&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=7HcOf1qn%2BKNrd6O2%2BvzVwQ%3D%3D
EY,AI/ML Developer - Technology Assurance,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/ai-ml-developer-technology-assurance-at-ey-4106590886?position=10&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=LpVeixnw9NEGcyG7gOQbmA%3D%3D
Snaphyre,AI Training Engineer (Remote | Flexi-time),India,https://in.linkedin.com/jobs/view/ai-training-engineer-remote-flexi-time-at-snaphyre-4130395779?position=11&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=9zW9tg9HkaaiIZ4WMH3nFQ%3D%3D
EXL,Machine Learning Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-exl-4127251004?position=12&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=Mmujp8u%2FZpus3934BSYggA%3D%3D
Vijay Sales,AI/ML Engineer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-vijay-sales-4093649349?position=13&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=Hol8I1hqCHpE%2B1PlgymlOA%3D%3D
MeetRecord,Junior Machine Learning Engineer (Python / NLP),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/junior-machine-learning-engineer-python-nlp-at-meetrecord-4103335463?position=14&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=MPLo9gz6hEETs5qAqRgnQA%3D%3D
Wipro,Machine Learning Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-wipro-4121409099?position=15&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=zBFPoNhuYsp0Y6eQuH1O4Q%3D%3D
Circuitry.ai,Machine Learning Engineer,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-circuitry-ai-4130591786?position=16&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=iwYtuV9Cdn1ucMNRFOF4Uw%3D%3D
EXL,ML Engineer,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/ml-engineer-at-exl-4122179174?position=17&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=dbqexXLfW4jXFBGvydKfbw%3D%3D
Google,"Data Scientist, University Graduate, 2025","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-university-graduate-2025-at-google-4053527216?position=18&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=f74nMFvXvWoPQn%2BhtTIxXg%3D%3D
AiFA Labs,AI ML Engineer,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-aifa-labs-4124326065?position=19&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=R%2B%2FGwIV31DGECpw6jWREzQ%3D%3D
Microsoft,Data Scientist,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-microsoft-4105543436?position=20&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=9UUUGyc0cznTVYfigPOI9g%3D%3D
Pixis,Machine Learning Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-pixis-4094839402?position=21&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=Nn%2Bx6XS7DBTGSmjAFc8M7w%3D%3D
Infosys,Python Machine learning Engineer,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-machine-learning-engineer-at-infosys-4115846690?position=22&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=Iz6IjYF3HDPNMDpvH3VvVw%3D%3D
FanCode,ML Engineer,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/ml-engineer-at-fancode-4071709994?position=23&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=Lk4cdbt2DaASTa%2BHfuv6ig%3D%3D
Google,"Software Engineer II, AI/ML, Search","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-ii-ai-ml-search-at-google-4053552520?position=24&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=mCitG5wzpZFLZxa6jretZg%3D%3D
Ujjivan Small Finance Bank,Data Scientist,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientist-at-ujjivan-small-finance-bank-4131686607?position=25&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=L0%2F5LqetP7Kd9ea4juXdeQ%3D%3D
Fynd (Shopsense Retail Technologies Ltd.),Python SDE 1/ SDE 2 | JCP,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/python-sde-1-sde-2-jcp-at-fynd-shopsense-retail-technologies-ltd-4113003357?position=26&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=1yyT9FOBH2czvJuoQx0soQ%3D%3D
Nimesa,Python Developer (Intern) - AI Automation,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-intern-ai-automation-at-nimesa-4065713689?position=27&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=716v%2BxT6KocmpCy7XKc%2BBQ%3D%3D
CTI,AI/ML Developer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/ai-ml-developer-at-cti-4130784444?position=28&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=6pvOw17mC2kw8VzsBXrp9Q%3D%3D
Jade Global,AI/ML Developer - Python,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/ai-ml-developer-python-at-jade-global-3993515723?position=29&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=amLVP50gfyF1ybsvC6FJKw%3D%3D
IBM,AI/ML Engineer,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-ibm-4105416285?position=30&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=4XJzLfThnjMV1jYYRxbkpg%3D%3D
NEMA AI,AI & Backend Developer,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/ai-backend-developer-at-nema-ai-4130521448?position=31&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=1w26JBYfJBxqMA0VJlVASQ%3D%3D
NielsenIQ,ML Engineer,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/ml-engineer-at-nielseniq-4124174900?position=32&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=UfUyoTIs9%2BGUrREyXo8U3g%3D%3D
Accellor,Python Developer (Gen AI),"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/python-developer-gen-ai-at-accellor-4132294071?position=33&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=xJh%2FIMTp6BtZS2BYCzj65A%3D%3D
Fairmatic,Machine Learning Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-fairmatic-4094721489?position=34&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=ZPIY%2Fd5PydeA%2FbnU3MI7VQ%3D%3D
Deloitte,Artificial Intelligence Engineer,"Bhubaneswar, Odisha, India",https://in.linkedin.com/jobs/view/artificial-intelligence-engineer-at-deloitte-3999078353?position=35&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=Zfdr0SJNMOFKka%2B3UZBakg%3D%3D
Infibeam,ML Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ml-engineer-at-infibeam-4060904429?position=36&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=PcUveKPNttJ6JDC1bQeOkA%3D%3D
Adobe,Machine Learning Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-adobe-4090147195?position=37&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=DJNZwZ4B%2FdGlk%2BfUp6RceQ%3D%3D
Tata Consultancy Services,"Gen AI Developer(python,ML)","Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/gen-ai-developer-python-ml-at-tata-consultancy-services-4117729777?position=38&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=F3JTTKJY2nrxzc%2Bnsy4ZgA%3D%3D
Tech Mahindra,AI Engineer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/ai-engineer-at-tech-mahindra-4131752675?position=39&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=SkvGkfSx2k5MD7O6k2fccA%3D%3D
Feathersoft,Junior AI/ML Engineer,"Kochi, Kerala, India",https://in.linkedin.com/jobs/view/junior-ai-ml-engineer-at-feathersoft-4119909147?position=40&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=1nievInJJZlsrXTSGAB4%2BA%3D%3D
MKS Instruments,AI/ML Developer - $250 StartSmart Incentive,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/ai-ml-developer-%24250-startsmart-incentive-at-mks-instruments-4115962387?position=41&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=AJ6SmEWvsXeXk0I%2FV0EFHw%3D%3D
Coforge,Machine Learning Engineer,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-coforge-4118609339?position=42&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=4o%2Fvjf4Z4B8e0sFNu4rf9Q%3D%3D
PayU,Machine Learning Engineer,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-payu-4029976199?position=43&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=JsdlQoNeqqJK9TsTk0LiJg%3D%3D
CGI,AI/ML Cognitive Developer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ai-ml-cognitive-developer-at-cgi-4099647130?position=44&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=8Fzzq84GTEuTgfE3LkrKcg%3D%3D
Searce Inc,AI/ML ENgineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-searce-inc-4130052249?position=45&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=4oHceIOgh%2F9qFPro6O6e6Q%3D%3D
DHL Supply Chain,Junior Data Scientist,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/junior-data-scientist-at-dhl-supply-chain-4125839892?position=46&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=oEGXTQnvEWBPQ5m9eMwnEg%3D%3D
Avtex Solutions,ML Engineer,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ml-engineer-at-avtex-solutions-4120927242?position=47&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=kT36U7fxN79l6fQVpNc9zA%3D%3D
TTEC Digital,ML Engineer,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ml-engineer-at-ttec-digital-4106473444?position=48&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=rAVG9ogY5QhZN0Drk%2Fo6DA%3D%3D
IQVIA,Machine Learning Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-iqvia-4123633593?position=49&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=JRoiGmEpd8T%2FUYy8A5XAqA%3D%3D
Genrobotics,Machine Learning Engineer Trainee,"Ernakulam, Kerala, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-trainee-at-genrobotics-4133041405?position=50&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=RYD5sDvoNDF1YlRq%2FS70qQ%3D%3D
Accellor,AI/ML Engineer,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accellor-4102013454?position=51&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=pgtaPlX8%2FFzcKkGUcNG7%2Bg%3D%3D
Infosys,Artificial Intelligence Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/artificial-intelligence-engineer-at-infosys-4132646544?position=52&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=fGym46HOwxmViczk7EkN3w%3D%3D
Virtusa,Data Scientists,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-scientists-at-virtusa-4129435289?position=53&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=59nLjlxjkM3qYR59QjK1ng%3D%3D
PepsiCo,Machine Learning Engineer,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-at-pepsico-4084439255?position=54&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=ibNfg2QnmCM8TT0E3rNCSA%3D%3D
Adobe,Machine Learning Engineer 2,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/machine-learning-engineer-2-at-adobe-4074254556?position=55&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=AhALsvgDtBGYjMMSREoqGA%3D%3D
Jade Global,AI/ML Developer - Python,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-ml-developer-python-at-jade-global-3993516788?position=56&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=xh5OCfzo6VgpAMh28%2FraeQ%3D%3D
Feathersoft,Junior AI/ML Engineer,"Chalakkudy, Kerala, India",https://in.linkedin.com/jobs/view/junior-ai-ml-engineer-at-feathersoft-4119903934?position=57&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=YAjvGgUMztyifZnQFYF3DA%3D%3D
L&T Technology Services,AI/ML  Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-l-t-technology-services-4118182430?position=58&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=Zrw41C0ZzWOifGtuP2zj9w%3D%3D
McAfee,ML Platform Engineer - Remote,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ml-platform-engineer-remote-at-mcafee-4102465940?position=59&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=fGjILEiQtDqmGDjcKRGY4g%3D%3D
Kodo,AI Engineer,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/ai-engineer-at-kodo-4117403428?position=60&pageNum=0&refId=kmKv0UxNbvPnkycOVuhnzA%3D%3D&trackingId=5Z2Q7wVYBjv3JyNUS%2BvXvA%3D%3D
